,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11015,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19688765.0,19688765.0,False,,1,,,,2024-04-22T23:54:00.000Z,66857.5356562364,28276413282.095726,37.8866,-0.20249453,2.93778412,5.30660998,3.96158407,30.28870195,67.8429063,1316342308014.7593,53.7256,1404008248780.96,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:54:33.578080
1,1027,Ethereum,ETH,ethereum,8850,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120072366.96347131,120072366.96347131,True,,2,,,,2024-04-22T23:53:00.000Z,3201.6879179142943,12063712479.25251,28.378,-0.26004895,1.67795513,3.30898417,-4.61156789,7.76891867,42.76844231,384434246582.31757,15.6904,384434246582.32,,2024-04-22T23:53:00.000Z,,,,,,2024-04-22 19:54:33.578080
2,825,Tether USDt,USDT,tether,83679,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,109840251114.81395,112941048614.41264,True,,3,,,,2024-04-22T23:52:00.000Z,1.0004976375088843,52703011098.951836,28.7012,0.00857798,0.00883335,0.02885456,0.05608444,0.1217203,0.13607313,109894911743.75395,4.4853,112997252316.5,,2024-04-22T23:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-04-22 19:54:33.578080
3,1839,BNB,BNB,bnb,2151,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149533001.16931787,149533001.16931787,False,,4,,,,2024-04-22T23:53:00.000Z,605.6007605446187,1297973860.4185154,65.9992,0.08417945,4.54795116,9.58677917,9.07498466,58.5947708,103.09206191,90557299234.65825,3.696,90557299234.66,,2024-04-22T23:53:00.000Z,,,,,,2024-04-22 19:54:33.578080
4,5426,Solana,SOL,solana,655,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,446922356.94826436,574440914.9503953,True,,5,,,,2024-04-22T23:52:00.000Z,157.1302802651426,2956990472.635773,33.4697,-0.18922862,5.54739823,13.67435625,-9.56927802,54.17788013,87.39522309,70225035204.03888,2.8662,90262061961.92,,2024-04-22T23:52:00.000Z,,,,,,2024-04-22 19:54:33.578080
5,3408,USDC,USDC,usd-coin,18622,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,33795787802.648556,33795787802.648556,False,,6,,,,2024-04-22T23:52:00.000Z,1.0001513175172474,7096497470.77211,53.6369,0.0076538,-0.00292453,-0.00011665,0.02396851,0.01220289,0.00579257,33800901697.352272,1.3796,33800901697.35,,2024-04-22T23:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-04-22 19:54:33.578080
6,52,XRP,XRP,xrp,1304,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55129144019.0,99987674482.0,False,,7,,,,2024-04-22T23:54:00.000Z,0.5562278944865869,1667285589.9738598,85.7954,-0.50431068,5.99540001,11.90916056,-10.11640213,2.84313882,7.53301714,30664367702.536186,1.2515,55622789448.66,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:54:33.578080
7,74,Dogecoin,DOGE,dogecoin,958,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143995636383.70526,143995636383.70526,True,,8,,,,2024-04-22T23:54:00.000Z,0.1612569653418498,1251752093.1887262,-3.2916,-0.36188099,1.89666672,-0.09186315,-0.48929087,91.72910283,106.38117911,23220299345.704765,0.9477,23220299345.7,,2024-04-22T23:54:00.000Z,,,,,,2024-04-22 19:54:33.578080
8,11419,Toncoin,TON,toncoin,290,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3471273378.9106216,5105594177.180327,True,,9,3414166606.0,20253626872.646103,,2024-04-22T23:52:00.000Z,5.932231554562309,239832968.92833573,14.9773,0.49756865,-3.44378393,-9.7187417,22.0384098,184.29498406,180.03897361,20592397472.885715,0.8405,30287566882.66,,2024-04-22T23:52:00.000Z,,,,,,2024-04-22 19:54:33.578080
9,2010,Cardano,ADA,cardano,1145,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35628261772.329,36812929523.021,False,,10,,,,2024-04-22T23:52:00.000Z,0.5167740606831964,402651750.4549974,13.3776,-0.56535752,3.46683107,12.3372201,-17.68064151,-11.88243682,8.57896554,18411761511.170357,0.7515,23254832730.74,,2024-04-22T23:52:00.000Z,,,,,,2024-04-22 19:54:33.578080
